,hyperbolic,size_8_nwalks_10_walklen_70.emd,size_32_nwalks_5_walklen_70.emd,size_8_nwalks_5_walklen_70.emd,size_32_nwalks_1_walklen_70.emd,size_8_nwalks_1_walklen_70.emd,size_32_nwalks_10_walklen_70.emd,size_128_nwalks_5_walklen_70.emd,size_128_nwalks_1_walklen_70.emd,size_128_nwalks_10_walklen_70.emd,size_32_nwalks_1_walklen_40.emd,size_32_nwalks_5_walklen_10.emd,size_32_nwalks_5_walklen_40.emd,size_8_nwalks_1_walklen_10.emd,size_8_nwalks_10_walklen_10.emd,size_8_nwalks_10_walklen_40.emd,size_8_nwalks_1_walklen_40.emd,size_8_nwalks_5_walklen_10.emd,size_8_nwalks_5_walklen_40.emd,size_32_nwalks_1_walklen_10.emd,size_128_nwalks_10_walklen_10.emd,size_32_nwalks_10_walklen_40.emd,size_128_nwalks_10_walklen_40.emd,size_2_nwalks_1_walklen_40.emd,size_128_nwalks_5_walklen_40.emd,size_128_nwalks_5_walklen_10.emd,size_128_nwalks_1_walklen_10.emd,size_32_nwalks_10_walklen_10.emd,size_2_nwalks_10_walklen_70.emd,size_2_nwalks_10_walklen_40.emd,size_2_nwalks_10_walklen_10.emd,size_2_nwalks_5_walklen_40.emd,size_2_nwalks_5_walklen_10.emd,size_128_nwalks_1_walklen_40.emd,size_2_nwalks_5_walklen_70.emd,size_2_nwalks_1_walklen_10.emd,size_2_nwalks_1_walklen_70.emd
size_32_nwalks_1_walklen_40.emd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.726314210889,0.343436396138,0.591051231784,0.343436396138,0.689232211078,0.343436396138,0.496101555525,0.280021615481,0.0841503080537
size_32_nwalks_5_walklen_10.emd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0.726314210889,0.343436396138,0.591051231784,0.343436396138,0.689232211078,0.343436396138,0.496101555525,0.280021615481,0.0841503080537
size_32_nwalks_5_walklen_40.emd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.726314210889,0.343436396138,0.591051231784,0.343436396138,0.689232211078,0.343436396138,0.496101555525,0.280021615481,0.0841503080537
size_8_nwalks_1_walklen_10.emd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.726314210889,0.343436396138,0.591051231784,0.343436396138,0.689232211078,0.343436396138,0.496101555525,0.280021615481,0.0841503080537
size_8_nwalks_10_walklen_10.emd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0.726314210889,0.343436396138,0.591051231784,0.343436396138,0.689232211078,0.343436396138,0.496101555525,0.280021615481,0.0841503080537
size_8_nwalks_10_walklen_40.emd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.726314210889,0.343436396138,0.591051231784,0.343436396138,0.689232211078,0.343436396138,0.496101555525,0.280021615481,0.0841503080537
size_8_nwalks_1_walklen_40.emd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.726314210889,0.343436396138,0.591051231784,0.343436396138,0.689232211078,0.343436396138,0.496101555525,0.280021615481,0.0841503080537
size_8_nwalks_5_walklen_10.emd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.726314210889,0.343436396138,0.591051231784,0.343436396138,0.689232211078,0.343436396138,0.496101555525,0.280021615481,0.0841503080537
size_8_nwalks_5_walklen_40.emd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.726314210889,0.343436396138,0.591051231784,0.343436396138,0.689232211078,0.343436396138,0.496101555525,0.280021615481,0.0841503080537
size_32_nwalks_1_walklen_10.emd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.726314210889,0.343436396138,0.591051231784,0.343436396138,0.689232211078,0.343436396138,0.496101555525,0.280021615481,0.0841503080537
